starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 05 13:36:01 2015	1444041361	2	2006	2008	1958
Mon Oct 05 13:34:19 2015	1444041259	2	2077	2079	1978
Mon Oct 05 13:33:38 2015	1444041218	2	2101	2104	2018
Mon Oct 05 13:34:18 2015	1444041258	2	2116	2118	2018
Mon Oct 05 13:35:30 2015	1444041330	2	2122	2124	2033
Mon Oct 05 13:36:00 2015	1444041360	2	2139	2141	2089
Mon Oct 05 13:33:38 2015	1444041218	2	2168	2170	2071
Mon Oct 05 13:34:24 2015	1444041264	2	2175	2177	2079
Mon Oct 05 13:33:36 2015	1444041216	2	2179	2181	2076
Mon Oct 05 13:33:36 2015	1444041216	2	2188	2191	2095
Mon Oct 05 13:32:55 2015	1444041175	2	2203	2205	2114
Mon Oct 05 13:32:55 2015	1444041175	2	2212	2215	2104
Mon Oct 05 13:35:04 2015	1444041304	2	2227	2230	2085
Mon Oct 05 13:35:31 2015	1444041331	2	2231	2234	2133
Mon Oct 05 13:34:21 2015	1444041261	2	2233	2235	2127
Mon Oct 05 13:34:24 2015	1444041264	4	2232	2236	2134
Mon Oct 05 13:33:16 2015	1444041196	2	2247	2249	2095
Mon Oct 05 13:34:20 2015	1444041260	2	2257	2259	2161
Mon Oct 05 13:35:15 2015	1444041315	2	2262	2264	2163
Mon Oct 05 13:34:22 2015	1444041262	18	2262	2279	2162
Mon Oct 05 13:32:47 2015	1444041167	2	2281	2283	2124
Mon Oct 05 13:32:53 2015	1444041173	2	2301	2303	2217
Mon Oct 05 13:35:28 2015	1444041328	10	2300	2309	2201
Mon Oct 05 13:35:28 2015	1444041328	4	2307	2311	2209
Mon Oct 05 13:35:04 2015	1444041304	2	2310	2312	2181
Mon Oct 05 13:35:17 2015	1444041317	2	2345	2347	2221
Mon Oct 05 13:34:00 2015	1444041240	5	2346	2351	2202
Mon Oct 05 13:35:15 2015	1444041315	2	2358	2360	2262
Mon Oct 05 13:32:21 2015	1444041141	2	2367	2369	2227
Mon Oct 05 13:33:29 2015	1444041209	2	2369	2371	2253
Mon Oct 05 13:34:12 2015	1444041252	2	2377	2379	2239
Mon Oct 05 13:33:21 2015	1444041201	2	2391	2393	2241
Mon Oct 05 13:32:52 2015	1444041172	2	2392	2394	2294
Mon Oct 05 13:32:57 2015	1444041177	2	2403	2405	2249
